Name,Beer_ID,ABV,IBU,Brewery_id,Style,Ounces,Brew_ID,City,State
Star Runner,2636,0.06,NA,11,Belgian Pale Ale,16,11,Grand Rapids,MI
Tart Side of the Barrel,2598,0.098,NA,11,American Double / Imperial Stout,16,11,Grand Rapids,MI
Linnaeus Mango IPA,2597,0.06,NA,11,American IPA,16,11,Grand Rapids,MI
Beasts A'Burnin',2548,0.07,NA,11,Rauchbier,16,11,Grand Rapids,MI
Verdun,2542,0.077,NA,11,Bière de Garde,16,11,Grand Rapids,MI
Barrel Aged Triomphe,2541,0.065,NA,11,Belgian IPA,16,11,Grand Rapids,MI
Cherry Doppelbock,2504,0.065,NA,11,Doppelbock,16,11,Grand Rapids,MI
Tropical Saison,2500,0.065,NA,11,Saison / Farmhouse Ale,16,11,Grand Rapids,MI
Beach Patrol,2499,0.065,NA,11,Witbier,16,11,Grand Rapids,MI
Nuit Serpent,2498,0.05,NA,11,Belgian IPA,16,11,Grand Rapids,MI
Paris,2481,0.09,NA,11,Saison / Farmhouse Ale,16,11,Grand Rapids,MI
The Grand Army,2476,0.055,NA,11,Belgian IPA,16,11,Grand Rapids,MI
Acidulated Trip,2467,0.059,NA,11,Saison / Farmhouse Ale,16,11,Grand Rapids,MI
Root Stock,2466,0.066,NA,11,Rye Beer,16,11,Grand Rapids,MI
Mind Games,2465,0.041,NA,11,Dunkelweizen,16,11,Grand Rapids,MI
Sous Chef,2433,0.082,NA,11,Belgian Strong Pale Ale,16,11,Grand Rapids,MI
Dubbelicious,2418,0.065,NA,11,Dubbel,16,11,Grand Rapids,MI
Psychopomp,2416,0.062,NA,11,Belgian Dark Ale,16,11,Grand Rapids,MI
Fat Paczki,2382,NA,NA,11,Belgian Dark Ale,16,11,Grand Rapids,MI
Earth-Like Planets,2381,NA,NA,11,Belgian Pale Ale,16,11,Grand Rapids,MI
Ski Patrol,2290,0.061,NA,11,Witbier,16,11,Grand Rapids,MI
Viking Ice Hole,2241,0.063,NA,11,Oatmeal Stout,16,11,Grand Rapids,MI
Rye Porter,2240,0.056,NA,11,American Porter,16,11,Grand Rapids,MI
Wizard Burial Ground,2137,0.099,NA,11,Quadrupel (Quad),16,11,Grand Rapids,MI
Smoky Wheat,2101,0.051,NA,11,Rauchbier,16,11,Grand Rapids,MI
BRIPA,2092,0.062,NA,11,Belgian IPA,16,11,Grand Rapids,MI
Mela,2091,0.062,NA,11,Belgian Dark Ale,16,11,Grand Rapids,MI
W.I.P.A Snappa,2086,0.053,NA,11,Belgian IPA,16,11,Grand Rapids,MI
Pepper in the Rye,2023,0.063,NA,11,Rye Beer,16,11,Grand Rapids,MI
Moe Lasses',2006,0.064,NA,11,American Stout,16,11,Grand Rapids,MI
Pumpkin Tart,1997,0.07,NA,11,Fruit / Vegetable Beer,16,11,Grand Rapids,MI
Undertaker,1977,0.067,NA,11,Belgian Dark Ale,16,11,Grand Rapids,MI
Undertaker (2014),1976,0.067,NA,11,Belgian Dark Ale,16,11,Grand Rapids,MI
Coq D'Or,1974,0.05,NA,11,Belgian Pale Ale,16,11,Grand Rapids,MI
North French,1973,0.06,NA,11,Bière de Garde,16,11,Grand Rapids,MI
Agent a Deux,1959,0.065,NA,11,Belgian Dark Ale,16,11,Grand Rapids,MI
